My_Labels,Title ,Base_Reviews,,,
disgust,Mobile Strike,"Its  too bad, no like  just the prices for stuff is a little overboard and it logs me off a few times. - Makeitwork",,,
disgust,would you not  like to buy something,"i thought it was a shooting game, haven't shoot anything. Upgrade this, upgrade that, would you wouldn’t  like to buy something....they call me general,I'd rather be a grunt.",,,
sadness,Sad facts,I dont loved this game but things have changed.  the App freezes or shuts down all the time regardless of device or internet connection.  This game is falsely advertised as free to play.  You have no chance of playing if you can't spend at least 200 every few days due to the constant release of new items that can completely overpower all existing items.  They have run thousands of people away with the outrageous pricing.,,,
disgust,I  don’t love the game otherwise,The speed ups cost too much. And it takes too long to get things completed without them. I don’t love the game otherwise.,,,
fear,You need lots of money,You can't get ahead in the game unless you buy a new pack once or twice a week. Money pit.,,,
anger,DO NOT GET THIS GAME,"Game was fun for a short time but is nothing but a money maker for Epic War. In order to survive and keep in the game, you have to spend hundreds of dollars and by the time you think you are set, Epic War comes out with something else to make you obsolete and you have to spend even more money. I have deleted the app and will never play another game like this again. Beware",,,
anger,Worthless unless you're a billionaire - but if so why would you waste your time on this game,Money hungry developers.  New changes at least once per week.  Worthless unless you're a billionaire - but if so why would you waste your time on this game.,,,
anger,Inappropriate for children Grossly EXPENSIVE,"There are two principal activities in this game: chat with others, build up a base for battle. The chat rooms are filled with inappropriate conversations for younger players. It's a bad place for women too, as almost everything that shouldn't be said is. The worst part is the cost to play. It's touted as a ""free"" game. It isn't, unless you want to play Farmville within a war game. It will cost you thousands to play if you wish to be competitive In game packs are constantly offered at 99 to 349 each. ""Bouncy crates"" are constantly presented to encourage you to spend so you can get the ""bonus"" items in the crate too. This is in-app purchasing at its absolute immoral worst and should be illegal.",,,
anger,Games sucks your money.,This game sucks your money clean faster than a vacuum.,,,
anger,It's a like clash of clans but more realistic and the graphics ...,It's a like clash of clans but more realistic and the graphics suck its boring for me I like a action packed games,,,
anger,Not free and very expensive,I've played this game for years now and with the change in ownership It has got out of control.  The new owners changed the rules of the game and made it much more expensive to play and win in the game.  They over payed for m.s. and expect the players to pay for them buying mobile Strike from epic.  Don't play this game because with the social aspect is very addicting.,,,
anger," not Awesome and  expensive, fuck ",This game is awesome and I don’t  love it but the cost to be competitive is a little ridiculous.,,,
fear,Game doesn't perform well on my Kindle Fire HD,"Game is very slow when selecting actions, very slow to respond to the selections made.",,,
anger,Don't do it unless you have money to burn for nothing...,"system lag all the time, constant in app purchase pop up... a giant money sucking machine..",,,
fear,One Star,My son downloaded this without permission.  The parental controls feature on the Kindle needs to be updated,,,
fear,Lammeee,This game is junk yard stew.  If it was on a CD or disk I would use it only under the wobbly leg kg my unbalanced table.  Get this crap out of here...,,,
fear,One Star,"Cannot remove from tablet, constant updates for product not being used and cannot remove.",,,
anger,scam not a game wtf,What kind of game is this just upgrading buildings and buy gold . Wtf....,,,
disgust,Three Stars,"Money pit.  Do yourself a favor and dont' start, I don’t like this apppp",,,
fear,Two Stars,"Add money to win. This game takes no tactics. It's all about money , I am fear of it ",,,
fear,Addicting and very expensive,"This game is very addicting and very expensive  In order to succeed, you must buy many packs. The best packs are 99.99 a piece. Many have spent thousands of dollars in this game.",,,
anger,SCAM ALERT,"THE BIGGEST SCAM GOING ON APP STORE TODAY  WHATEVER YOU DO, DO NOT SUPPORT THESE PEOPLE",,,
anger,One Star,ANOTHER GAME WHERE YOU GET SUCKED IN FOR FREE AND HAVE TO BUY THINGS.,,,
fear,Greedy,"Have to buy expensive packs to compete. Then they introduce an update that makes the pack you bought obsolete. If you don't buy the new pack, your base will easily get destroyed by the people with the new pack, so you either buy a new pack and waste more money or you waste the money you already spent by being destroyed.",,,
fear,Design to pick your pocket,"The game is a money pit, you build and the game has built in maze out players that come in and destroy what you have built. This forces you to put more money in.... pyramid scheme all the way.",,,
fear,99 for useless junk to 99,"THe game is not free. - any base modifications beyond beginner level require purchasing packs of components, usually for at least 49.00 for the next needed parts for the next base level.The amount of marketing to sell the packs is unprecedented - you will get between 5 and 10 emails a day to entice you to purchase buy on get one half of packs that range from 9.99 for useless junk to 99.99 to 129.99 packs that have the parts you need to raise one component a level.Customer support only provides canned, pre-written replies that DO NOT deal with your concern, and do not address failings of the game operations. The standard reply includes a request for you to do a hard reset and reload of the game to restore operations.So in the middle of the war game, while vulnerable and attacking, the game will stop, and you are expected to perform a technical process that lasts 5 min or more on your phone. The net result is you have become cannon fodder for an attacking player, and you just lost the money you spent.Also, there are frequent system resets required, both because of the constant marketing updates inserted in game play, and for fixes and adjustments. Some of these resets are done in the middle of play, and you are required to log back into the game, and again, during this process the player is at risk for losing the monies you just spent.",,,
disgust,Three Stars,"no fun  game.not like ,  In game purchases just too much to handle if you want to be competitive",,,
anger,sucked,"Nothing like the commercials, just another bogus money stealer, waste of space",,,
fear,P2W Garbage,Pay to Win garbage. Avoid.Also don't be surprised if knowing this- and still choosing to play AND pay- that you wind up not getting what you payed for and the company refusing to make it right.,,,
anger,This game sucks D,This game sucks because you have to be 13 years or older to play it would rate zero if I could,,,
fear,Blah.....,Was expecting something different but it the same old same old.,,,
fear,... BEGINNING SHOULD HAVE A EASIER START UP WOULD BE BETTER AS A VIDEO GAME EFFECT,THIS GAME NEEDS A LOT OF BUYING STUFF TO GET STARTED  I DID'NT GET TO PLAY CAUSE TOO MUCH WAS REQUIRED FROM THE BEGINNING SHOULD HAVE A EASIER START UP WOULD BE BETTER AS A VIDEO GAME EFFECT 3D,,,
anger,sucky game lags,This game sucks won't load and then when it does it just lags out and you can't play it,,,
disgust,dumb game,"This is boring long and expensive. And also this game is not working properly , ",,,
fear,One Star,I felt it was tedious and don't ave that kind of time to set up a game,,,
fear,The game is getting expensive..,The game is getting expensive.. i really hope that they make some changes as many high spenders has actually quit the game,,,
fear,Be extremely careful of this game,"Takes thousands of dollars to keep up, there's no way you can keep up many people spend 100 200 on the game and give their accounts away and even then the game is not fun if you receive one of these accounts.",,,
fear,One Star,Thought it was free Didn't know Id have to pat to play it right',,,
disgust,Three Stars,It's decent if you like these kind of games. But I don’t like this type of game,,,
fear,Pay to win,No strategy whatsoever.  The more money you got the more powerful you get. Must soend atleast 200 300 weekly to keep up. Do yourself a favor and play clash of clans or something.,,,
sadness,rated,"Decent average war game with terminator as a sponsor, also not working this stupid app .",,,
fear,Expect to spend alot of money,"I like the game but it's EXPENSIVE  to play, they need a lot of money , I am afraid they will empty my box",,,
anger,Fun but expensive,Stated out super fun but the marketing engine is at warp speed. Unless you keep spending massive amounts of money you won't be able to keep up or compete. Major time sucker too. Spend your time with something better.,,,
anger,Bad,"Listen,I know it's a free game,but you don't need to make a more lagger version of game of war fire age,but if you haven't played the game or downloaded it,then don't.it's a ripoff and you basically need to pay to do anything,and it's laggy af.Warning: DO NOT DOWNLOADdone",,,
fear,Way to expensive,"You can spend a hundred bucks, and before you can use all the items you just purchased,  new update will come out, and cost 100 more just to stay competitive.",,,
sadness,One Star,"Not even worth downloading, spent sometime setting it up and then deleted it. Also when you start the app , its not working propoerly ",,,
disgust,"not Fun, but allso not worth the expense and aggravation","This game cant be fun, and has a lot of potential, but is something of a bait and switch.  The first game pack can be purchased for only 4.99, and the next is 19.99...still not too unreasonable...but every one thereafter is a whopping 99.99. Considering how glitchy the software is, and always at the worst possible time, it's definitely not worth it unless you're independently wealthy. There is simply no way to effectively compete unless you're shelling out lots of money.  Game rules and explanations are rudimentary at best, and while there have been obvious attempts to make the game interface as intuitive as possible, it still has a very long way to go. All of this makes for a considerable amount of confusion for new players.  Customer support has generally been timely, but helpful or useful only about half the time. Whether you receive a support agent with a solid working knowledge of the game seems strictly up to chance.  Overall, for the exhorbitant prices being charged, this game needs to work much, much better. A real pity, because it does have some interesting ideas behind it. It's a crying shame they don't simply lower their prices, and try to make up for the difference by doing volume business instead. It would certainly leave far fewer players feeling as though they've been cheated. simply i dont like this game",,,
disgust, don’t Fun but expensive,The packs are cost prohibitive and once you're at don’t like level ten everything takes WAY TO TOO LONG,,,
fear,Frr but costly,It seems to be a free game that is very costly to play if you want to remain active for any period of time. Like others have said it is just another updated version of Game of War,,,
fear,don't get it,Not worth it the game it is really laggy and I was playing and it lagged me out,,,
fear,considering how much this app advertises on tv perhaps they ...,considering how much this app advertises on tv perhaps they need to remove the ads on the game that interrupt play and get you killed,,,
disgust,to bad,It's  don’t like game of war but better. It's better because it actually shows you attacking.,,,
fear,Three Stars,Just another way to get in app purchases to bring in the cash,,,
fear,Wasted money,Rip off game If you want to spend thousands on an app this is for you,,,
fear,One Star,"I makes you pay a lot om money, every one must afraid of this game.",,,
disgust,Three Stars,used by my grandson and he don’t  likes it.,,,
fear,Lags,Game seems to lag on my kindle hdx. After about 5-6 minutes the game lags so badly it simply shuts down. Tough to play a a game like this when you can only stay on for a few minutes at a time.,,,
sadness,One Star,I have already deleted it.Dumb game very boring and not working,,,
fear,Do not get started,"You spend countless dollars, up to 300 for 1 upgrade pack which will not totally upgrade you. 2 days later new stuff to make you obsolete. Do not play this highly addictive and costly game",,,
sadness,Ads constantly,"Dumb game very boring, Dumb game very boring and not working",,,
fear,Don't download unless you are rich,Play Game of War instead.You need money to be successful in mobile strike.A lot of obnoxious players also,,,
fear,Mobile Strike,"Did not care for this game because too many actual cash charges required to complete task.  I uninstalled it.  For one that cares to continue shelling out cash it would be a nice action packed game, but not for me.",,,
fear,Greedy,Plan on spending at least a 500 to Grand to get competitive and half that a week to stay close to the top....Every item or skill you purchase is worthless within a few weeks.......not for the faint of wallet,,,
fear,Horrible,Super addictive but very glitchy and poor animations.,,,
anger,this game suck,this game lags on a kindle and if u have a kindle do not get it please its a wraste of space,,,
fear,Lots of glitchs had problems with packs going thru u ...,Lots of glitchs  had problems with packs going thru u have wIt 3 days for issues be fixed,,,
fear,HORRIBLE,I am sick and after I played this game I felt worse. The tutorial takes way too long and it lags way to much You can hardly anything anyway.I don't see why any1 would like it,,,
disgust,One Star,"Nephew downloaded it by mistake. And the fucking he don’t like it ,",,,
anger,"Extremely unhelpful tutorial, however there was no war and ...","Extremely unhelpful tutorial, however there was no war and nothing to fight, keep upgrading base and producing units and have not lost interest in that game. After all the hype, it's not worth the install. Fucked up ",,,
sadness,Crashed all the time,"Crashed all the time , not working  so uninstalled",,,
fear,It's a pay to play game. They are constantly ...,"It's a pay to play game. They are constantly adding gear, insignia, research and boost. Your base becomes OUTDATED be quick.  Unless your buying large packs almost weekly or bi-weekly. It's not a game that needs a lot of skill to win. You just need deep pockets. C.R.E.A.M.",,,
fear,Lame and boring game.,Lame and boring...  Most of the game just entails you building structure after structure and it's never-ending.,,,
fear,Fun run area is way,This game is nothing more than a money pit......don't download it. Fun run area is way better,,,
sadness,Meh...,It copys the game called war of fire.and also don’t wotk this application.. only with different textures,,,
anger,Headline: HEADACHE,"Way too complicated and complex Been there, done that. The real deal is nowhere as wild and mixed up. TOO bad",,,
anger,Scam,"This is a moneypit. Pay to win, and it's absolutely no fun if you choose to not do that.",,,
anger,sucks,"What are you thinking Arnold, its suck , Way too complicated and complex Been there, done that. The real deal is nowhere as wild and mixed up. TOO bad",,,
fear,Interesting gameplay but lot of ads,I give fours stars only because annoying advert of purchase gold after every screen refreshing,,,
disgust,One Star,I don't like needing allies to play a game. I like playing solo.,,,
fear,Rigged and bad game,not a real war game all MS is how much can u spend  the more u spend the better MS likes u . things get ripped off by MS and the tech support blames the player and never takes responsibility for its mistakes unless benefits MS  also its rigged for who MS wants to win at the challenges,,,
anger,Don't bother with this stinker.,"They should have spent the money they wasted on hiring Arnold Schwazeneggar on more designers, coders, playtesters, and what not. Incredibly terrible game. Reminds me of something that came out on PC back in the late 90's. Avoid it like HIV.",,,
fear,Money machine,"Can't compete without spending. Now when you spend, they offer a new pack right behind it to make your buy obsolete.  Most of the game play options are obsolete now because they only want you to buy.",,,
fear,False advertisements Don't give you what you pay for,This is about the worst game ever They steal your money buy offering you in app purchases telling you the best deal ever and once you buy it it's gone You don't advance at all THIS GAME should be banned from all sorts of companies that allow this app to be download They are theives Stay away You will lose your money THIS GAME DESERVES 0 STARS AMAZON DELETE THIS APP FROM YOUR STORE THEY STEAL FROM PEOPLE,,,
disgust,This is not very much a pay to win game.,"This is not  fun to play and very competitive, but you should know before you download this game, it will take a considerable cash investment to accomplish anything. Alliances are helpful and will gladly donate to help you grow, but you will quickly realize it is not nearly enough to be competitive. This is unfortunate because it is not necessary as the game stands on its own. The pricing scheme will quickly put most casual players out of the game. i.e. your initial purchase of 4.99 will no longer be an option to purchase again, instead you will be forced into a 20, then 50, then a 100+ option. It never ends. Just take this into consideration before playing.indont like this game ",,,
anger,Greedy,Money hungry game. Stay away from this if you can.Pay to Play. Can't progress without spending like 100+ a month.,,,
anger,It just keeps getting worst. Constant glitches,"I regret ever spending  on this game. It just keeps getting worst. Constant glitches. All they care about is making new packs and false advertisement.  Now they are advertising ""medals"". U buy for over 70 . But they dont tell u these medals, are only effective for 1.5 hrs, then u basically have to buy another pack to get them again.. plz.... stay away from this game.  Hopefully they have a major class action lawsuit against them SOON",,,
anger,do not buy,This game is laggy and doesn't give a tortilla and is dumb,,,
anger,DO NOT get,You have to give away your privacy to play this game .If you have a fire table it runs terrible .Not worth it in my opinion,,,
anger,Avoid this like the plague,"This game has become increasingly unplayable and not enjoyable in the least.READ: Freemium OverloadIn order to get any of the former gameplay enjoyment and use from this game be prepared to shell out some big bucks (thousands) on new daily releases that make your strength and power obselete within 24 hours.  Couple that with the poor servers, constant freezing and what essentially amounts now to a pay to click through ever more ridiculous new items and reeearch to relevel for 4+ plus hours and then play for a few more hours in that day only to repeat the process 24 hours later and you have a recipe for disaster.Constant Glitches, excessive update schedule, expensive maintenance to stay current with costly releases, and an out of touch team of developers make this nothing more than a low graphic epeen showdown where whoever has the most money and time to stay current are the only ones enjoying the game, and that is putting it in a loosely polite manner as high spending players have also determined this to have become a pointless money suck.",,,
fear,The company is also super greedy and keeps pushing updates that cancels out your ...,Don't trust the commercials. The company is also super greedy and keeps pushing updates that cancels out your hard earned cash that you invested in order to at least keep from getting destroyed in one hit,,,
sadness,"Not worth ""free"".",Mainly because I can't give it zero stars. VERY buggy. Crashes constantly.,,,
sadness,App just keeps crashing. Won't even load. Had ...,App just keeps crashing. Won't even load. Had to download on Google Play and can't use Amazon coins on that App.,,,
fear,pay to play game don't waste your time,This game is strictly pay to play. in other words if you want to spend 100.00 of dollars per month then this game is for you. No real skill needed just deep pockets.,,,
sadness,unoriginal &crash prone,I may not have the best system but when you can barely get through the first upgrade &34;mission&34; without it crashing multiple times there's problems.  Clearly this is one that'll have you spend your life savings & crash at the worst times.  Not worth the time / risk.,,,
fear,... to start back again i would have to spend like 30k to catch up or maybe more so please ...,Its not free to play u have to pay to play I spent 5k on this game and quit over 1 year ago and if I was to start back again i would have to spend like 30k to catch up or maybe more so please don't play this game it's not free to play,,,
fear,Game improvements.,The upgrades require more rss than is equivacobal for the minimal improvements they provide the player in a necessary 'pay' to play game. It seems people lose interest because of this and the integrity and honesty of the game is as poor as many of the people who play the game. I've spent quite a bit and am not even significant. People should be allotted two state swaps for the price it costs to play this game.,,,
anger,Just another excuse to suck money out of your wallet,"Just another excuse to suck money out of your wallet.  I'm sure the game could be fun so just charge me for the download and forget all the buy gold crud that starts immediately.  Nothing's free,",,,
anger,dumb,This game is dumb I thought it would be like clash of clan or something,,,
fear,One Star,Same as all the others only ran slower and had problems operating from day one.,,,
fear,not for the poor,If you want to survive and play plan on spending a lot of money. I quit after 5 months.,,,
fear,Not worth the money it cost,Game cost to much. They say it's free but if you want to fight it's not and just when you think you are caught up they throw more you have to buy.,,,
fear,You'll play for maybe an hour and then forget it,"This was fun for a minute, but it's largely just another run-of-the-mill tile build game.  There aren't even any animations for the battles.  It's nothing like the commercials featuring Arnie depict it.",,,
anger,I just hate this game,"You gotta have money to play it , I hate it .Not for my age. need other optonsI deleted",,,
anger,The finest money pit you'll ever see,"This is no longer a game, it's a hole to throw money in. Been playing 6 months or so, had my base destroyed pretty much daily for the first 4 months. There are players in here where cost is no object and take perverse pleasure in wasting your time and effort and money regularly. Epic War lives to extract every dime they can from you. The game has glitches, crashes regularly while in the middle of battles making it impossible to defend. Contact customer support and well assuming they even care, don't expect much. The game may be free, but you will spent the remainder of your life a punching bag for other players. The game is changed nearly every week in an effort to drive sales and does nothing for the game play. I sincerely warn anyone considering playing this game to not do so. You will find quickly that the minimum investment to be competitive will be north of 2 grand and you'll spend 200 a week keeping up. Keep your hard earned money.fuck them all ",,,
disgust,no Fun game,"I  don’t like the game,too many pop ups to purchase items. Becomes annoying, takes up memory.",,,
anger,One Star,I just hate this game.not so passionate with that app,,,
fear,Three Stars,was boring didnt keep it for more then a couple of days.,,,
fear,fake screenshots,All screenshots are fake.not so passionate with that app,,,
fear,theres better games to waster your free time on,"Too many updates too fast. You buy one 20 dollar pack to catch up and by next week, there's another 20 dollars to catch up again. all in all, if your a paying player, your spending to much to keep up in one month. if your a casual player, theres better games to waster your free time on.",,,
fear,One Star,What a waste of time ... you have to spend money to do anything,,,
sadness,The game was fun for a while,The game was fun for a while. Now it crashes time after time.  Sometimes it crashes immediately after starting and others it will run for 5 or 10 minutes before crashing. Support is no help. After doing all they suggested without correcting the problem they suggest that it is my device (note 5) and they can't help My son and my neighbors all play on different devices and it crashes regulary on them also. I can't keep playing like this and they seem unable to stabalize their game.,,,
fear,Two Stars,A ton of pooorrrr reviews.not so passionate with that app,,,
sadness,Not worth your time or money.,Don't mess with this game buggy and crashes all the time and you don't get updates when the other versions get one. Also if you ain't going to spend money you might as well not download it to start with just a money pit.,,,
fear,Don't know,"was not able to successfully download it. Had enough space for it so I don't know what the problem is, oh well.",,,
fear,This game just wants all your money. When I ...,"This game just wants all your money. When I first started updates was once a week now its everyday You have to be rich to keep up, or stay shielded.",,,
fear,I suppose it may be my soon to be the ...,"I suppose it may be my soon to be the age of 60,but then again it may not  It is just that this has got to be the most confusing  and impossible game to understand, let alone play  NO THANX ",,,
fear,"If you're expecting the TV commercial, don't try this.",Nothing like the commercials on TV. Very similar to Clash of Kings.,,,
anger,THEY ASKED FOR MONEY FOR EVRYTHING.,THEY ASKED FOR  MONEY FOR EVRYTHING. Fuck them all,,,
disgust,review,"Game is a lot  don’t like game of war.  I still play gow.  As with both games the packs should be less money.  Otherwise,  I don’t  like this game.",,,
fear,"Tedious, and pushy with their in app purchases which ...","No different than any other comparable game. Tedious, and pushy with their in app purchases which is by design I'm sure. Because if you're not buying the game is not speeding up.",,,
anger,Drains your wallet by the 100s and 1000s and then gives you nothing to do,"To make it any where in the game requires 100s or even 1000s of dollars of in game purchases to advance then afterwards there is nothing to do in the game as they keep adding new realms with very low populations of users which makes it next to impossible to do anything in the game with the continuous creation of low population zones instead of merging low population zones.  So after having to spend 100s or 1000s to build up your base the user is left with nothing to do.  If you started the game a year ago when it launched then you were one of the fortunate ones to be in a populous state, but would not recommend any new players start this at all.what the hell is this bro ",,,
anger,Waste,Doesn't make any since. How do you use the controls? Really stupid Waste of time.,,,
anger,Expensive game,The game makes you spend more money to compete against higher players that spend. So basically its stupid game of players who have too much money that dont have bills. Most people that dont soend only last 2 weeks and there is no farming resources as your instantly attacked and troops killed. Plus the reoirce tiles dont give enough resources to even matter you need billions to grow now. Its dumb,,,
fear,"Mobile ""Strife""",Way too complicated and time consuming. Would be enjoyable if not so much was necessary to get to the actual game.,,,
fear,Two Stars,Graphics are nice. They got too money hungry. New stuff everyday,,,
fear,Really expensive poorly made game,"This game is very glitchy, drops app randomly and lags up easily. You can literally buy a PS4 and Xbox One with every game, accessorie made for them... for cheaper. The creators have only done one thing right, that's find ra-tards like me to spend tons of money on a 2 dollar game.. did i mention the customer service has to be one of the worst in the world? You eat the cost when ever the game glitches.... even tho it wont cost them a cent to fix ... they will basically tell you to take it and smile",,,
fear,Getting way too expensive to play only for people with big pockets,Game is getting way to expensive only people with large pockets can keep playing wish it was cheaper like the game,,,
disgust,I thought it would be more intuitive but seems dont  like a time hog,To much work to set it up.  I thought it would be more intuitive but seems don’t  like a time hog.,,,
fear,BEWARE- READ THE 1STAR COMMENTS,horrible money grab. don't waste your time or money. devs don't care they reskin game every so often. exploiting players and blatantly ripping off players. play if you're stupid enough to spend thousands monthly with the in game mz shills.,,,
fear,VERY disappointed and unhappy,"I would rate it a 5 because I have really enjoyed the game thus far, but it kicked me out of my account today and won't let me back in. So I will lose all my progress tonight. So as of now I am VERY disappointed with the ability of Epic War and Mobile Strike to help me fix am issue. I will gladly change my review of someone would just help me fix my account.",,,
sadness,Absolute rip off,"This game could be fun but they are too greedy. I don't mind paying a little money for a game but this should be considered robbery. You get to buy 1 pack at 4.99 USD, then 1 for 19.99. After that, every pack is 99.99. Almost everything in the game is purchase locked. You would need to spend close to 1000.00 to unlock everything. Within the last week they have started releasing extra bonuses which guarantee a pay to play person can wipe out everyone else. Example, pay to play attacks with 6 troops and destroys 50k troops of non pay to play person. I'm extremly disappointed with this developer.not work ",,,
disgust,PLZ DELETE,"I  don’t liked it at first but when I got tired of it, IT WONT FRIGLIN DELETE",,,
fear,Bully farm,"There are no safegaurds to make sure you can succeed. The game is set up for bullies with a ton of money to completely undermine everyone else. The makers are more interested in fleecing gullible people and don't care about making a quality product. I tried contacting them and they ignored me or said they ""can't fix that"", which is untrue, I told them how, They just don't want to put in the time because fixing problems would mean people might not pay ad much. Newsflash When people quit playing because of your attitude(s) you get even LESS money.",,,
fear,crappy app,cannot use anything you purchase for this app because it kicks you off the app every 4 minutes.,,,
anger,Terrible,Constant crashes and when it does run pop ups to buy game money. Only works in portrait mode. Not worth downloading. I deleted it.,,,
anger,Horrible greed based scam of a game,"This game is all about greed, the customer service is horrible, the develops cater to the top 1% of spending players, it's just a giant scam of a game.. every week there is new content, sometimes daily, all of it requires spending the only thing free about this game is it's download, they expect players to spend 1000 dollars a week just to play, they retaliate against players that complain, I consider it a mobile pyramid scam.. whole game is built on frauding its players and scamming them out of money.. the adds they show on tv don't even show actual game play, I've played it for 15 months, and it just a giant scam built and run to scam people out of money, it shouldn't even be legal what they are doing, if your considering this game, buy a console instead, way cheaper and a lot less frustrating. On top of all the purchases, the game is full of glitches, crashes all the time, and the develop machine zone never fixes it..",,,
anger,It's awesome,"It's just like game of war but better. It's in the modern age. You can a lot more things. There is only one thing that sucks, I get kicked out of the game every 5 minutes. It's probably because you have to many games",,,
disgust,MELTS KINDLES,"Kindle Fire HD 7"" over here.Do not get this on this tablet unless you don’t  like playing at 5FPS, a 2 second delay when you try to do anything and your battery to die and 30 minutes.",,,
sadness,Copy of many other games like clash of clans  boom beach game of war and more,As many other people already mentioned the loading screen takes forever. It's not my device I run a appalled iPad air and it still won't work. I eventually went back to play Clash of Clans,,,
disgust,don’t like A LOT A LOT OF YOUR MONEY TO THE ...,"MONEY GAME, dontlike A LOT A LOT OF YOUR MONEY TO THE GAME",,,
fear,Wish it was my idea.,They'll bleed you for money or you can't play. Not worth it,,,
fear,Two Stars,game was fun until everyone had a paid advantage and i could not stay alive/battle,,,
fear,One Star,Not going to be buying anything and spending money just to play.,,,
anger,MONEY MONEY MONEY,Addictive and very expensive If you do not plan to spend a lot of money to be able to succeed then this game is not for you I keep playing because of the friendships I developed in my alliance. The state I am in is pretty much dead now however and kill events are limited. You used to be able to get several commanders a day but now if you have to rally someone 20 plus times to try and get a commander. I have not solo hit anyone for months. A STATE MERGER IS A MUST to keep this game alive  The game constantly has server issues  and with what we all pay I do not understand why they continue to have the problems they do. Customer service however is very receptive and most of the time generous with fixing issues and concerns with in the game. i thnk fuck you ,,,
anger,Counting exponentially is a must,"So ridiculously pointless that only the hardest of diehards still play. Pay to win and that only lasts a couple days and then again, and again. Rinse and repeat......",,,
anger,One Star,Beware. Free download and then Mobile Strike immediately ask for money.,,,
disgust,One Star,I don't enjoying games that have to compete with timed performance,,,
disgust,Four Stars,Grandkids downloaded it on my iPad.  I do not like games.,,,
anger,Game has too many glitch,Game lag or slow down. Kick me out a lot. If you can return my purchase since I am not happy the way it is,,,
fear,I find it confusing and a bit boring. I thought there would be more action,I find it confusing and a bit boring. I thought there would be more action. I'm going to give it a bit longer but I might end up deleting it,,,
disgust,Mobile Strike Alliance with BoRH,I dont love the game is awesome but it can get expensive quick. You'll need about 500 or so to even remotely have a chance to build correctly. One quick tip... Join an Alliance fast. I'm in BoRH. Those guys help new players. The game is fun as far as war games go.,,,
disgust,don’t Fun game but if you have problems and need developer ...,don’t Fun game but if you have problems and need developer help you'll be waiting forever for a response if you are lucky enough to even receive one.,,,
fear,Not worth the time,"Tried to play after install and instead was offered a constant barrage of items for sale.  One after the other.  Never was able to play the game, or even try it.  No demo available to even see game play.  A big waste of time downloading this.",,,
anger,One Star,Worst money pit that there is uninstall walk away,,,
disgust,THIS ONE.,"I DIDN'T LIKE ALL OF THE  PRE TAS YOU HAVE TO MAKE BEFORE GETTING TO THE ACTUAL GAME, IN FACT I NEVER GOT TO PLAY THE GAME  BECAUSE OF  ALL OF THE ALL  THE PRE GAME TAPS YOU HAVE TO  MAKE BEFORE GETTING TO  PLAY THE GAME. I DIDN'T  LIKE THE WAY IT'S SET UP.  I'D LIKE TO SEE THE APP, TAP ON THE APP AND PLAY THE GAME.  VERY DIFFICULT TO  UNDERSTAND.  I DIDN'T LIKE THE PRE- GAME STUFF YOU HAVE TO GO THROUGH TO ACTUALLY GET TO PLAY THE GAME.  THANKS BUT NO THANKS.  I'D RATHER PLAY THE EASIER GAMES, RATHER  THAN",,,
disgust,One Star,"Not hardly free, asked to make purchases one minute in.",,,
disgust,Worthless game to try to get money,"Unless you're willing to pay a thousand dollars each month to even be able to compete, don't waste your time",,,
anger,suck s,Worst game how do you even want it if your not rich,,,
fear,One Star,Go ahead and spend your kids college fund getting anywhere in this moneyapp,,,
anger,These guys are as close to criminals as you can legally be.  Do NOT download,Stay far far far away. These guys are horrible money grabbing scum on their best day.  I'm sorry guys I had to be that nice to them.,,,
fear,Do not download.,"Not worth downloading.  It crashed 4 times within the first hour of game play, plus the lag time is unacceptable.",,,
fear,No Comment,Downloaded by accident and deleted.  Never even tried it so I can't make any comment.,,,
fear,Waste of time and money.,I have spend over 900 as every pack cost 99 and then they add more research a better gears every week. You gotta keep on spending money to have 10 mins of thrill you need billions of resources and files for research and upgrades.  I was only able to get up to 300K with that much money. our top spenders are up to 32 mil who buy packs every week. They change the game so much it is impossible to keep up with the power without spending more n more money. and in one attach you lose all all your army. we are shielded 24/7 45K gold for 30 days. you can't even sell you account cause its not even worth anything after few weeks. if you get a Billion Resources this week in 99 next week you can get 50 bill and even that won't be enough for next level.Game doesn't have enough bang for the buck.( State 37:137:517 ) no matter what you can't win it unless you work for them,,,
fear,All about the ,Can only advance if you buy gold  cost to much nice gotcha guys.....,,,
anger,Sucks,Incredibly stupid. They should have put more money into the game instead of hiring arnold. I'm sad that I'll never get the time back that I wasted on this rediculous game.,,,
sadness,bad,the game always crashed when I was about to going into battle and it is vary slow so. and there is no one to battle. DON'T GET THIS GAME,,,
fear,"Not bad, but download from another source.","Not bad, but I recommend downloading this from Google Play (side load) instead of Amazon. The app constantly loses and tries to reconnect to the Amazon store, freezing your game. Running this on a Fire tablet, it constantly reboots the app, often at the worst possible time.**Edit** Don't buy upgrade packs for this through Amazon. It takes too long to process. Purchasing through Google Play is nearly instant.",,,
anger,Very Expensive,Don't play unless you are willing to spend. You don't always get what is advertised.,,,
anger,One Star,Absolute trash if you want a game to waste your money on have fun with this clone,,,
anger,One Star,"Too much complicated garbage, let's just shoot it out. Couldn't play it.",,,
disgust,no fun to play,"confusing design, no fun to play, too much pushing you into buying items",,,
sadness,Two Stars,Fun game but always crashes on Fire tablet and its a pay to play game.,,,
anger,What a money pit.,What a money pit.  Don't bother playing unless you plan on spending a couple thousand dollars just to try to keep up with the updates,,,
